index,price
1982-09-14,
1982-09-15,
1982-09-16,
1982-09-17,
1982-09-20,
1982-09-21,
1982-09-22,
1982-09-23,
1982-09-24,
1982-09-27,
1982-09-28,500.78388826274204
1982-09-29,496.6901264301482
1982-09-30,528.9664347194496
1982-10-01,547.4951382746438
1982-10-04,571.9251480206289
1982-10-05,603.0808142965318
1982-10-06,449.673247744301
1982-10-07,404.06629605486074
1982-10-08,418.11428695775766
1982-10-11,410.62580665930966
1982-10-12,407.0434563725007
1982-10-13,402.99677007116316
1982-10-14,386.2146940760667
1982-10-15,401.81526084776436
1982-10-18,399.8456204575541
1982-10-19,403.8849874528863
1982-10-20,393.710265613828
1982-10-21,404.63288203299317
1982-10-22,391.70072092891496
1982-10-25,349.6442984802037
1982-10-26,352.48389006087126
1982-10-27,361.70504202029485
1982-10-28,370.10173374570184
1982-10-29,382.64989714342425
1982-11-01,382.6912826206988
1982-11-02,393.86537611833796
1982-11-03,370.1408556707123
1982-11-04,381.9759803871277
1982-11-05,390.05585992617483
1982-11-08,397.73287529541926
1982-11-09,392.38068886577526
1982-11-10,365.62012668914724
1982-11-11,371.0038814168041
1982-11-12,359.95420053758096
1982-11-15,347.3057670350422
1982-11-16,358.21554221586797
1982-11-17,363.9844847609805
1982-11-18,375.21613569521696
1982-11-19,371.07523332346864
1982-11-22,364.393045440774
1982-11-23,375.6659455908217
1982-11-24,383.747699822597
1982-11-25,383.7476998225969
1982-11-26,383.7476998225969
1982-11-29,394.176209548012
1982-11-30,360.10633767932865
1982-12-01,371.4516798571248
1982-12-02,383.05991466156144
1982-12-03,395.6610283690661
1982-12-06,378.34181324042794
1982-12-07,390.66678459103906
1982-12-08,388.81213671571237
1982-12-09,394.7478604134826
1982-12-10,406.7527320581294
1982-12-13,416.7161303326841
1982-12-14,383.908034950489
1982-12-15,395.77268782983276
1982-12-16,408.1697859085266
1982-12-17,405.35446900912507
1982-12-20,412.0074939567703
1982-12-21,392.02456600243806
1982-12-22,402.0865328171555
1982-12-23,413.40142413379124
1982-12-24,413.40142413379124
1982-12-27,413.40142413379124
1982-12-28,412.1089336781583
1982-12-29,424.50818287457537
1982-12-30,429.99785576562
1982-12-31,442.7282882493706
1983-01-03,436.9745623263031
1983-01-04,416.87583482618504
1983-01-05,430.0457701508013
1983-01-06,406.80159268288935
1983-01-07,419.76322796836496
1983-01-10,428.25756401788794
1983-01-11,438.5794302601275
1983-01-12,452.3059874674193
1983-01-13,466.4986635687238
1983-01-14,480.89848736226867
1983-01-17,495.8521861988116
1983-01-18,510.79176327849285
1983-01-19,505.31541427377186
1983-01-20,514.0858338270046
1983-01-21,474.8526444437615
1983-01-24,474.22441859787716
1983-01-25,486.895733957163
1983-01-26,501.68394421311433
1983-01-27,457.3629976348914
1983-01-28,467.9671867788235
1983-01-31,472.18451809536134
1983-02-01,439.9333872337415
1983-02-02,451.13488558828544
1983-02-03,462.496446020615
1983-02-04,443.55385061010156
1983-02-07,456.80587722396217
1983-02-08,451.9148751019018
1983-02-09,465.3721501006798
1983-02-10,440.6724403750472
1983-02-11,448.26166510333667
1983-02-14,451.4866796723209
1983-02-15,455.1714867248444
1983-02-16,463.97380280815645
1983-02-17,476.31315105872073
1983-02-18,490.3741645601826
1983-02-21,490.37416456018246
1983-02-22,490.37416456018246
1983-02-23,488.5602738395193
1983-02-24,476.59171549157685
1983-02-25,487.1816576974934
1983-02-28,485.4586649597115
1983-03-01,469.8451055417569
1983-03-02,484.2695952529482
1983-03-03,499.34239079554067
1983-03-04,511.9398752944218
1983-03-07,514.384573457439
1983-03-08,510.5969281064476
1983-03-09,515.4885329318776
1983-03-10,512.7757273449848
1983-03-11,518.24035989334
1983-03-14,528.5930035568493
1983-03-15,528.9664347194496
1983-03-16,522.1450231102938
1983-03-17,530.0830879871316
1983-03-18,536.805179794135
1983-03-21,543.3177136942988
1983-03-22,546.7853665271907
1983-03-23,517.8678294048677
1983-03-24,533.3656252632595
1983-03-25,531.8237635443371
1983-03-28,547.5679390934279
1983-03-29,548.4545370611119
1983-03-30,549.5050013333387
1983-03-31,529.7877314103949
1983-04-01,529.787731410395
1983-04-04,529.7877314103949
1983-04-05,536.1193606133509
1983-04-06,550.3847784731962
1983-04-07,552.8667809972465
1983-04-08,553.3737418542355
1983-04-11,546.3825277338757
1983-04-12,556.4009967995745
1983-04-13,558.763658615876
1983-04-14,561.1316320583345
1983-04-15,563.0821846405723
1983-04-18,568.4200949799794
1983-04-19,571.36557319332
1983-04-20,576.448765526044
1983-04-21,579.2080192683557
1983-04-22,584.7189799195897
1983-04-25,591.8048852724331
1983-04-26,559.9087443529645
1983-04-27,574.6149829698163
1983-04-28,586.1472786845857
1983-04-29,597.4479760215631
1983-05-02,602.4744413576918
1983-05-03,602.7882820783776
1983-05-04,604.0255756836
1983-05-05,608.3971107890595
1983-05-06,612.0476045401515
1983-05-09,616.2810486573179
1983-05-10,620.605352253162
1983-05-11,621.8344769347411
1983-05-12,629.817011020618
1983-05-13,634.7731191893077
1983-05-16,636.2003515152719
1983-05-17,639.4974689590384
1983-05-18,645.5791958273791
1983-05-19,652.4833727482954
1983-05-20,660.6209474632406
1983-05-23,664.84268098298
1983-05-24,668.2810885812138
1983-05-25,673.6258740992337
1983-05-26,678.7966325995171
1983-05-27,684.650186382169
1983-05-30,689.1541786319867
1983-05-31,691.5377012406027
1983-06-01,696.9845231608115
1983-06-02,699.3921640033409
1983-06-03,700.4964493523114
1983-06-06,701.7130012031865
1983-06-07,647.0525877124834
1983-06-08,658.2233372502138
