index,price
1982-09-14,516.6499999999994
1982-09-15,516.9156249999994
1982-09-16,516.759427828348
1982-09-17,516.4131079766531
1982-09-20,516.4097928482527
1982-09-21,517.0536618188636
1982-09-22,516.6699145063465
1982-09-23,516.6848083051227
1982-09-24,516.5481892930974
1982-09-27,516.622638890354
1982-09-28,516.4145039032841
1982-09-29,515.8825757811566
1982-09-30,515.3580249205203
1982-10-01,515.0366569569015
1982-10-04,514.8440568526587
1982-10-05,514.661257855022
1982-10-06,515.1739356218131
1982-10-07,516.2159156367252
1982-10-08,517.3614403069239
1982-10-11,518.8206607809423
1982-10-12,519.857809851952
1982-10-13,521.2075754097482
1982-10-14,522.0418073578335
1982-10-15,522.8102941531655
1982-10-18,523.8978488735308
1982-10-19,524.6874105204829
1982-10-20,525.8703688022915
1982-10-21,526.8625016258288
1982-10-22,527.4108694974085
1982-10-25,527.2890937659424
1982-10-26,527.5186464440485
1982-10-27,527.5943017938762
1982-10-28,527.5053061194135
1982-10-29,527.5046728874657
1982-11-01,527.849617089911
1982-11-02,528.3195580213688
1982-11-03,529.327074983471
1982-11-04,530.2376009518542
1982-11-05,530.9384947601897
1982-11-08,531.4373050609897
1982-11-09,532.3027338340277
1982-11-10,532.5803295361667
1982-11-11,533.1145119353382
1982-11-12,533.1895798280741
1982-11-15,532.795276405283
1982-11-16,532.424071255597
1982-11-17,532.3327495043306
1982-11-18,532.3111965549498
1982-11-19,531.9384822602918
1982-11-22,531.1972415114756
1982-11-23,530.5258434745815
1982-11-24,530.080963395217
1982-11-25,530.080963395217
1982-11-26,529.7942880631808
1982-11-29,529.3801311676608
1982-11-30,529.6645340626314
1982-12-01,529.8401966037364
1982-12-02,530.0864279502933
1982-12-03,530.3374085514665
1982-12-06,531.0754481843254
1982-12-07,531.7674032680866
1982-12-08,532.0773072006268
1982-12-09,532.1470562260519
1982-12-10,532.1534777069642
1982-12-13,532.3101606144974
1982-12-14,531.8812932165173
1982-12-15,531.4450852841803
1982-12-16,531.0502424923302
1982-12-17,531.0143433839631
1982-12-20,530.7799227301231
1982-12-21,531.0503717382575
1982-12-22,531.1811827429478
1982-12-23,531.39132424426
1982-12-24,531.39132424426
1982-12-27,532.1206375773335
1982-12-28,532.4245485879902
1982-12-29,532.7820762386594
1982-12-30,532.8544267383425
1982-12-31,532.9989579020481
1983-01-03,532.7739094471622
1983-01-04,533.0130797478853
1983-01-05,533.2705404879713
1983-01-06,533.9917554823371
1983-01-07,534.6274435780923
1983-01-10,535.3896761440525
1983-01-11,535.9598608033571
1983-01-12,536.4653569454792
1983-01-13,536.9265860401371
1983-01-14,537.3312733814538
1983-01-17,537.728480025479
1983-01-18,538.0654904660629
1983-01-19,538.1113350597526
1983-01-20,538.3183065526017
1983-01-21,538.0546057402976
1983-01-24,537.5553968653519
1983-01-25,537.1811644895888
1983-01-26,536.8457062280115
1983-01-27,537.0415551013997
1983-01-28,537.1017044017241
1983-01-31,537.3734164305038
1983-02-01,537.1461547955107
1983-02-02,537.0403232312028
1983-02-03,537.0473676133612
1983-02-04,537.4665627815739
1983-02-07,537.8538590827633
1983-02-08,537.9123631641247
1983-02-09,537.9639545526582
1983-02-10,538.4632068456901
1983-02-11,538.7621253960848
1983-02-14,539.2790666232105
1983-02-15,539.5465643096235
1983-02-16,539.6529663500651
1983-02-17,539.841032773921
1983-02-18,540.03048312772
1983-02-21,540.03048312772
1983-02-22,539.8228541571852
1983-02-23,539.9494845505403
1983-02-24,540.4553970390278
1983-02-25,540.8032544271465
1983-02-28,540.878205652395
1983-03-01,541.3544354897216
1983-03-02,541.7746279280062
1983-03-03,542.2266880952552
1983-03-04,542.6699734100027
1983-03-07,543.0511192511528
1983-03-08,543.0813011964625
1983-03-09,543.3191846926657
1983-03-10,543.2988065439221
1983-03-11,543.3169667776668
1983-03-14,543.3808333016866
1983-03-15,543.4608373350308
1983-03-16,543.1433203971924
1983-03-17,542.8820317749148
1983-03-18,542.7711638529224
1983-03-21,542.9052671108155
1983-03-22,542.8809098574012
1983-03-23,543.2862123348385
1983-03-24,543.6609160174544
1983-03-25,543.7898002745769
1983-03-28,543.9033532249323
1983-03-29,543.9029569162944
1983-03-30,544.168385497555
1983-03-31,544.0835677024315
1983-04-01,544.0835677024315
1983-04-04,544.1779084001604
1983-04-05,544.0703972223354
1983-04-06,543.9266590923212
1983-04-07,543.8598045535088
1983-04-08,543.8082626444343
1983-04-11,544.1690308342752
1983-04-12,544.5444993050218
1983-04-13,544.9637516840777
1983-04-14,545.5803970592518
1983-04-15,546.0945860128083
1983-04-18,546.6473686695496
1983-04-19,546.9982940976532
1983-04-20,547.5769341313663
1983-04-21,548.0303189211063
1983-04-22,548.4342152037311
1983-04-25,548.5915791010877
1983-04-26,549.2073100677445
1983-04-27,549.7188253573803
1983-04-28,550.3352797218133
1983-04-29,550.9905460259586
1983-05-02,551.424857160274
1983-05-03,551.8250115783471
1983-05-04,552.2958537412113
1983-05-05,552.7875219930603
1983-05-06,553.5341125083793
1983-05-09,554.1447115709814
1983-05-10,554.6828422352743
1983-05-11,555.0272878916061
1983-05-12,555.230611286953
1983-05-13,555.4924560173835
1983-05-16,555.5346251942312
1983-05-17,555.6071819112739
1983-05-18,555.4943531769306
1983-05-19,555.2887829306584
1983-05-20,555.0839105007454
1983-05-23,555.1388178040244
1983-05-24,555.4463777166484
1983-05-25,555.8060008857708
1983-05-26,556.034916435891
1983-05-27,556.1720960089845
1983-05-30,556.1720960089845
1983-05-31,555.8604822821924
1983-06-01,555.6906588022207
