index,price
1982-09-14,516.6499999999994
1982-09-15,516.9039062499994
1982-09-16,516.7650419073962
1982-09-17,516.4599886349762
1982-09-20,516.4472295216502
1982-09-21,516.9605979809047
1982-09-22,516.6770710030056
1982-09-23,516.6872148381469
1982-09-24,516.5884211988099
1982-09-27,516.6356038461022
1982-09-28,516.4943402719732
1982-09-29,516.1406982015682
1982-09-30,515.7867510044757
1982-10-01,515.553468784532
1982-10-04,515.3969695022828
1982-10-05,515.2486361377661
1982-10-06,515.4913646841214
1982-10-07,516.0355030287521
1982-10-08,516.6549427245782
1982-10-11,517.4556806635784
1982-10-12,518.0659264735086
1982-10-13,518.8416032042265
1982-10-14,519.3852692989869
1982-10-15,519.9021926307729
1982-10-18,520.5688725080873
1982-10-19,521.1098890255088
1982-10-20,521.8273858749948
1982-10-21,522.4722783401372
1982-10-22,522.9331881159826
1982-10-25,523.108511723226
1982-10-26,523.4105885059381
1982-10-27,523.6412741511249
1982-10-28,523.7947081694939
1982-10-29,523.9689168525243
1982-11-01,524.2664478695043
1982-11-02,524.6096658282271
1982-11-03,525.1569462543902
1982-11-04,525.6812299461554
1982-11-05,526.1385018595436
1982-11-08,526.5271036859386
1982-11-09,527.0477582880175
1982-11-10,527.3678031119156
1982-11-11,527.7729265216202
1982-11-12,528.0190624086322
1982-11-15,528.0936835554498
1982-11-16,528.156485158252
1982-11-17,528.29611979973
1982-11-18,528.4487538259483
1982-11-19,528.4762836261615
1982-11-22,528.3662622531243
1982-11-23,528.2555875565045
1982-11-24,528.1979048990024
1982-11-25,528.1979048990024
1982-11-26,528.1862313720435
1982-11-29,528.1245929980664
1982-11-30,528.2585580053815
1982-12-01,528.3653281229624
1982-12-02,528.4957258419004
1982-12-03,528.6315849049142
1982-12-06,528.9186493726761
1982-12-07,529.2080128131685
1982-12-08,529.396160018474
1982-12-09,529.5156498074736
1982-12-10,529.6136429944754
1982-12-13,529.7528918617703
1982-12-14,529.7166898567044
1982-12-15,529.6640264606798
1982-12-16,529.6099412219219
1982-12-17,529.6504665499633
1982-12-20,529.6292234336435
1982-12-21,529.749687435865
1982-12-22,529.8338412321998
1982-12-23,529.9426255341771
1982-12-24,529.9426255341771
1982-12-27,530.1919077483517
1982-12-28,530.3437066716693
1982-12-29,530.5159903797515
1982-12-30,530.6160597408706
1982-12-31,530.7350071134922
1983-01-03,530.751280571489
1983-01-04,530.8888929475289
1983-01-05,531.0350530719247
1983-01-06,531.3156035255538
1983-01-07,531.5871507261028
1983-01-10,531.9067219763051
1983-01-11,532.1868816332112
1983-01-12,532.4582419434429
1983-01-13,532.7245856002252
1983-01-14,532.9810633613494
1983-01-17,533.2399083178585
1983-01-18,533.4859075433085
1983-01-19,533.652479008798
1983-01-20,533.8598607287599
1983-01-21,533.9346190573561
1983-01-24,533.9318024664728
1983-01-25,533.9473475572246
1983-01-26,533.9606839760766
1983-01-27,534.110679730389
1983-01-28,534.2240696644625
1983-01-31,534.3943388801571
1983-02-01,534.4289925652774
1983-02-02,534.4886471825541
1983-02-03,534.5740229370426
1983-02-04,534.7706581677343
1983-02-07,534.9654090000893
1983-02-08,535.0754489815828
1983-02-09,535.1817261165213
1983-02-10,535.4091241348775
1983-02-11,535.5899781640512
1983-02-14,535.8341447606009
1983-02-15,536.0184685510724
1983-02-16,536.1611647301747
1983-02-17,536.3247920758613
1983-02-18,536.4893610342548
1983-02-21,536.4893610342548
1983-02-22,536.5541622584692
1983-02-23,536.6941722763488
1983-02-24,536.9312672434577
1983-02-25,537.1370895410234
1983-02-28,537.2767660744288
1983-03-01,537.5195077050696
1983-03-02,537.7554909465547
1983-03-03,538.0061501785013
1983-03-04,538.2612134549136
1983-03-07,538.5059289453034
1983-03-08,538.6612858058368
1983-03-09,538.8679804167153
1983-03-10,539.006297883947
1983-03-11,539.149618341752
1983-03-14,539.3009928263173
1983-03-15,539.4537140521095
1983-03-16,539.4969486007792
1983-03-17,539.5435491446779
1983-03-18,539.6206256653478
1983-03-21,539.7575178205248
1983-03-22,539.8515297106566
1983-03-23,540.0573144705705
1983-03-24,540.261086115923
1983-03-25,540.4040154583172
1983-03-28,540.5422457721005
1983-03-29,540.6489333360383
1983-03-30,540.8235460560159
1983-03-31,540.9068329497393
1983-04-01,540.9068329497393
1983-04-04,541.0339598436726
1983-04-05,541.1094452109603
1983-04-06,541.1693241855675
1983-04-07,541.2417672301765
1983-04-08,541.3133592395816
1983-04-11,541.4877089254653
1983-04-12,541.6723040021794
1983-04-13,541.87485719036
1983-04-14,542.1366275422017
1983-04-15,542.3831638819754
1983-04-18,542.6487418832234
1983-04-19,542.8701493828182
1983-04-20,543.1562629234561
1983-04-21,543.4184580707491
1983-04-22,543.6735492680957
1983-04-25,543.8675224796079
1983-04-26,544.182628864909
1983-04-27,544.4793854082445
1983-04-28,544.8109217982812
1983-04-29,545.1617678206062
1983-05-02,545.4630194142223
1983-05-03,545.7591782957584
1983-05-04,546.0773600811838
1983-05-05,546.405754806029
1983-05-06,546.8072933102367
1983-05-09,547.1831538111012
1983-05-10,547.5468318181443
1983-05-11,547.8640334069386
1983-05-12,548.1441875754705
1983-05-13,548.4373561592074
1983-05-16,548.6707112932444
1983-05-17,548.9059970576179
1983-05-18,549.0865692406348
1983-05-19,549.233074079773
1983-05-20,549.3686056204674
1983-05-23,549.5625514221807
1983-05-24,549.8192829428153
1983-05-25,550.0913219247476
1983-05-26,550.3311954281437
1983-05-27,550.5462111830798
1983-05-30,550.5462111830798
1983-05-31,550.6511384365775
1983-06-01,550.7766821975379
1983-06-02,550.9462409792766
1983-06-03,551.1165427255079
1983-06-06,551.3068088176915
1983-06-07,551.3770459826915
1983-06-08,551.4145628351299
1983-06-09,551.4811844055951
1983-06-10,551.5647469915065
1983-06-13,551.7363870089766
1983-06-14,551.8975978268752
1983-06-15,552.1489191146558
1983-06-16,552.4523598466544
1983-06-17,552.7553879126277
1983-06-20,553.0247333390722
1983-06-21,553.3470660874558
1983-06-22,553.6304201792096
1983-06-23,553.9124704135578
1983-06-24,554.1600935934068
1983-06-27,554.3476074747938
1983-06-28,554.4628159135032
1983-06-29,554.6200063825644
1983-06-30,554.8114974351969
1983-07-01,554.9999701133108
1983-07-04,554.9999701133108
1983-07-05,555.100461808452
1983-07-06,555.2703529126151
1983-07-07,555.3779389978432
1983-07-08,555.4899539348531
1983-07-11,555.6175217445154
1983-07-12,555.6539504595439
1983-07-13,555.7084315491152
1983-07-14,555.7707150053187
1983-07-15,555.7684495101038
1983-07-18,555.7758582960472
1983-07-19,555.8117827164068
1983-07-20,555.9741949490952
1983-07-21,556.1519661866092
1983-07-22,556.2936234109055
1983-07-25,556.4656157317856
1983-07-26,556.6399078033953
1983-07-27,556.716422488208
1983-07-28,556.700043329815
1983-07-29,556.6224098656969
1983-08-01,556.5283107195482
1983-08-02,556.4356899180445
1983-08-03,556.3871586665142
1983-08-04,556.2486299929317
1983-08-05,556.1555992683308
1983-08-08,555.9962171471209
1983-08-09,555.8703282111143
1983-08-10,555.7846951129108
1983-08-11,555.7018164766773
1983-08-12,555.6467480834677
1983-08-15,555.6248603633526
1983-08-16,555.5958254232492
1983-08-17,555.6147809572581
1983-08-18,555.5704200827762
1983-08-19,555.5650796406247
1983-08-22,555.544249911704
1983-08-23,555.4818260279841
1983-08-24,555.3697676319156
1983-08-25,555.2675248285169
1983-08-26,555.2013447438113
1983-08-29,555.1560070815707
1983-08-30,555.1105451040052
1983-08-31,555.1226998156618
1983-09-01,555.1282308390408
1983-09-02,555.1522965393955
1983-09-05,555.1522965393955
1983-09-06,555.27270032336
1983-09-07,555.3987029312965
1983-09-08,555.5044819595681
1983-09-09,555.5715405027714
1983-09-12,555.5756462700931
1983-09-13,555.5907893047909
1983-09-14,555.6229697045792
1983-09-15,555.6238306494496
1983-09-16,555.7010233194889
1983-09-19,555.8138218470549
1983-09-20,555.9578509198024
1983-09-21,556.0813100681422
1983-09-22,556.2308449503572
1983-09-23,556.3660096664215
1983-09-26,556.499941635688
1983-09-27,556.5947593140061
1983-09-28,556.6738720001572
1983-09-29,556.731492418559
1983-09-30,556.7509931015853
1983-10-03,556.7761655614144
1983-10-04,556.8021011306529
1983-10-05,556.8775369248057
1983-10-06,557.0087084574559
1983-10-07,557.1403839228316
1983-10-10,557.3290625596687
1983-10-11,557.4348306162684
1983-10-12,557.5199712987292
1983-10-13,557.6305987908551
1983-10-14,557.728301970877
1983-10-17,557.8495010495849
1983-10-18,557.8870612155835
1983-10-19,557.8780845431938
1983-10-20,557.8818950416837
1983-10-21,557.8480965648793
1983-10-24,557.8341045848109
1983-10-25,557.8143134633625
1983-10-26,557.7561518327459
1983-10-27,557.70918400175
1983-10-28,557.6075917614359
1983-10-31,557.5123216491
1983-11-01,557.4247278982913
1983-11-02,557.3741425212961
1983-11-03,557.2737965589066
1983-11-04,557.150162662519
1983-11-07,557.0070901663804
1983-11-08,556.8778409018552
1983-11-09,556.8210292803835
1983-11-10,556.773768501921
1983-11-11,556.7792426374057
1983-11-14,556.7829925264555
1983-11-15,556.7509240211518
1983-11-16,556.7245149645046
1983-11-17,556.7082405917304
1983-11-18,556.6800674586734
1983-11-21,556.6884385257573
1983-11-22,556.6965480255104
1983-11-23,556.7137033210109
1983-11-24,556.7137033210109
