index,forecast
1982-09-14,
1982-09-15,
1982-09-16,
1982-09-17,
1982-09-20,
1982-09-21,
1982-09-22,
1982-09-23,
1982-09-24,
1982-09-27,
1982-09-28,-0.039980767136927095
1982-09-29,-0.1282068576286983
1982-09-30,-0.22678170810114007
1982-10-01,-0.28295196303051917
1982-10-04,-0.31622464897873614
1982-10-05,-0.3542365730574175
1982-10-06,-0.142739357376598
1982-10-07,0.07289865426526371
1982-10-08,0.2953967328798599
1982-10-11,0.5604960617664586
1982-10-12,0.7293744037780128
1982-10-13,0.9534791569033686
1982-10-14,1.025994033698843
1982-10-15,1.1685195717919628
1982-10-18,1.3310766203292932
1982-10-19,1.444907224110054
1982-10-20,1.5917638821781745
1982-10-21,1.7764287008577506
1982-10-22,1.7539110251945034
1982-10-25,1.461716675564521
1982-10-26,1.448024242620593
1982-10-27,1.429830029628744
1982-10-28,1.3732987344984866
1982-10-29,1.3529566830945738
1982-11-01,1.371247624804456
1982-11-02,1.4611980840102574
1982-11-03,1.5435350160389985
1982-11-04,1.7404242819092797
1982-11-05,1.8722653585010443
1982-11-08,1.9529485111785905
1982-11-09,2.061950924716286
1982-11-10,1.9058045716052183
1982-11-11,1.9817489214087665
1982-11-12,1.861149464080853
1982-11-15,1.6328903109977566
1982-11-16,1.52871566781333
1982-11-17,1.4692705831999233
1982-11-18,1.4492508351200257
1982-11-19,1.2847361659721124
1982-11-22,1.0315891535302755
1982-11-23,0.8528578361975758
1982-11-24,0.7226193665537628
1982-11-25,0.7226193665537627
1982-11-26,0.6170880564082886
1982-11-29,0.4949032766335649
1982-11-30,0.5063008888411098
1982-12-01,0.5478423747518407
1982-12-02,0.6093342138929788
1982-12-03,0.6749279382111493
1982-12-06,0.8160071731942001
1982-12-07,0.999868839535857
1982-12-08,1.0424625647421464
1982-12-09,1.0387420536120922
1982-12-10,1.0330847082808747
1982-12-13,1.0656551388571078
1982-12-14,0.8310086223129861
1982-12-15,0.7048944377598444
1982-12-16,0.5878874611863456
1982-12-17,0.5528535698398458
1982-12-20,0.47409673344038505
1982-12-21,0.509900199151597
1982-12-22,0.5417478765773067
1982-12-23,0.5988941098890607
1982-12-24,0.5988941098890607
1982-12-27,0.7973396580703885
1982-12-28,0.8575335432878125
1982-12-29,0.9619719902027639
1982-12-30,0.9624930093294337
1982-12-31,1.0023150572981738
1983-01-03,0.8838373676958169
1983-01-04,0.8855221457253244
1983-01-05,0.9613619074961707
1983-01-06,1.0886628782808834
1983-01-07,1.2762031415202733
1983-01-10,1.4916014674654432
1983-01-11,1.6547510548258935
1983-01-12,1.8124421078915645
1983-01-13,1.9602275895340904
1983-01-14,2.0920094183764104
1983-01-17,2.225668094133762
1983-01-18,2.3392132361938
1983-01-19,2.253128692575257
1983-01-20,2.2920238389222236
1983-01-21,1.9563865714678195
1983-01-24,1.7183969470429414
1983-01-25,1.5745316687665782
1983-01-26,1.447369342493337
1983-01-27,1.3404739453797023
1983-01-28,1.346638632573324
1983-01-31,1.4066742974791602
1983-02-01,1.1953703836101102
1983-02-02,1.1511500822654939
1983-02-03,1.1439131225813428
1983-02-04,1.1957788723461005
1983-02-07,1.3194609738335283
1983-02-08,1.2820437184782512
1983-02-09,1.2947716293962566
1983-02-10,1.3458500812810377
1983-02-11,1.4219520001843133
1983-02-14,1.555336333480191
1983-02-15,1.6058885917273233
1983-02-16,1.6201044762322014
1983-02-17,1.674831686773747
1983-02-18,1.7364747881886118
1983-02-21,1.7364747881886113
1983-02-22,1.602882059037516
1983-02-23,1.5904162561121526
1983-02-24,1.6795710648857631
1983-02-25,1.7860882866137724
1983-02-28,1.7483500494525264
1983-03-01,1.8018220497248325
1983-03-02,1.9463458392736923
1983-03-03,2.1074934937951078
1983-03-04,2.257020021611396
1983-03-07,2.3379757767572684
1983-03-08,2.2568462806367204
1983-03-09,2.2945447619897297
1983-03-10,2.2010942502533553
1983-03-11,2.1596881532294576
1983-03-14,2.156575130908282
1983-03-15,2.1196337164481607
1983-03-16,1.9039348859068819
1983-03-17,1.769673181827413
1983-03-18,1.6912252182292848
1983-03-21,1.7102279476836435
1983-03-22,1.6564207338879642
1983-03-23,1.6721423283384782
1983-03-24,1.8133524012189932
1983-03-25,1.800640823534521
1983-03-28,1.8404346810186631
1983-03-29,1.7846839962953027
1983-03-30,1.8380060017827982
1983-03-31,1.682995097921392
1983-04-01,1.682995097921392
1983-04-04,1.6656253734126423
1983-04-05,1.587423699145218
1983-04-06,1.517595161830061
1983-04-07,1.4474258674813538
1983-04-08,1.380614032708223
1983-04-11,1.4650274422037615
1983-04-12,1.5980923295045275
1983-04-13,1.7259619883881376
1983-04-14,1.9324080095350649
1983-04-15,2.089835681552782
1983-04-18,2.2728998176730353
1983-04-19,2.358679771216676
1983-04-20,2.5482904605963785
1983-04-21,2.671226788276654
1983-04-22,2.78365172962268
1983-04-25,2.795719786895333
1983-04-26,2.8133629430535656
1983-04-27,3.010660697144027
1983-04-28,3.238087363357957
1983-04-29,3.4823917414663694
1983-05-02,3.5918548655176554
1983-05-03,3.6564132237855222
1983-05-04,3.7561292128829566
1983-05-05,3.882648718318267
1983-05-06,4.117133576397885
1983-05-09,4.290276116547445
1983-05-10,4.4286462586052115
1983-05-11,4.454358605623656
1983-05-12,4.463150200791576
1983-05-13,4.478387743166453
1983-05-16,4.3668244365784
1983-05-17,4.285390752939621
1983-05-18,4.13673200062944
1983-05-19,3.9512493354073888
1983-05-20,3.775650125050562
1983-05-23,3.7073398911801956
1983-05-24,3.76048102100681
1983-05-25,3.8495556103157513
