index,positions,prices
1982-09-14,,516.6499999999994
1982-09-15,,517.1499999999994
1982-09-16,,516.4999999999993
1982-09-17,,515.5999999999993
1982-09-20,,516.3999999999994
1982-09-21,,519.2999999999994
1982-09-22,,515.1499999999994
1982-09-23,,516.7499999999993
1982-09-24,,515.8999999999994
1982-09-27,,516.9999999999993
1982-09-28,-2.002172402255761,515.2999999999994
1982-09-29,-6.367908032481017,512.8999999999994
1982-09-30,-11.9959911593847,512.2999999999994
1982-10-01,-15.4914824124476,513.0999999999993
1982-10-04,-18.085682917493507,513.6499999999994
1982-10-05,-21.36332809330802,513.4999999999993
1982-10-06,-6.418607041246927,518.4999999999993
1982-10-07,2.9455889216348985,523.0999999999993
1982-10-08,12.350959433771383,525.0499999999994
1982-10-11,23.015414749221833,528.7499999999993
1982-10-12,29.68870783034343,526.9999999999993
1982-10-13,38.42490205622333,530.5999999999993
1982-10-14,39.62539718488683,527.8999999999994
1982-10-15,46.95289965453054,528.2499999999993
1982-10-18,53.22251571321104,531.6499999999994
1982-10-19,58.3576336080274,530.3499999999993
1982-10-20,62.66937808468672,534.3999999999994
1982-10-21,71.88014649541975,534.0499999999994
1982-10-22,68.70082130138593,531.3999999999994
1982-10-25,51.10809016045725,526.3999999999994
1982-10-26,51.04052179413535,529.1999999999994
1982-10-27,51.717673094874435,528.1499999999994
1982-10-28,50.82602425886681,526.8499999999993
1982-10-29,51.77087356256471,527.4999999999993
1982-11-01,52.476451232700406,530.3999999999994
1982-11-02,57.55153329420948,531.7999999999994
1982-11-03,57.13253715943816,536.7999999999994
1982-11-04,66.48002713718598,536.9999999999993
1982-11-05,73.02880744201128,536.1499999999994
1982-11-08,77.6751826654969,535.1499999999994
1982-11-09,80.90697242475987,538.7499999999993
1982-11-10,69.68005089150559,534.6499999999994
1982-11-11,73.52365418362174,537.0999999999993
1982-11-12,66.99285674241706,533.7499999999993
1982-11-15,56.711222194516445,529.8499999999993
1982-11-16,54.76097118396448,529.6499999999994
1982-11-17,53.47916962004894,531.6499999999994
1982-11-18,54.3782298006802,532.1499999999994
1982-11-19,47.673377254720016,529.1499999999994
1982-11-22,37.59039132985672,525.6499999999994
1982-11-23,32.03896454897045,525.4999999999993
1982-11-24,27.730351976226853,526.7499999999993
1982-11-25,27.730351976226846,
1982-11-26,23.68061222346777,527.8999999999994
1982-11-29,19.507909767630988,526.5999999999993
1982-11-30,18.232215884436094,531.5999999999993
1982-12-01,20.349697039848774,531.0499999999994
1982-12-02,23.341151197421407,531.7999999999994
1982-12-03,26.704268210763683,532.0999999999993
1982-12-06,30.872963352348957,536.2999999999994
1982-12-07,39.06155445542469,536.6999999999994
1982-12-08,40.53220972435356,534.2999999999994
1982-12-09,41.00412031848804,532.6499999999994
1982-12-10,42.02100275407214,532.1999999999994
1982-12-13,44.407568573367314,533.4499999999994
1982-12-14,31.903088721909164,528.7499999999993
1982-12-15,27.89779662685124,528.2499999999993
1982-12-16,23.995789917073793,528.1499999999994
1982-12-17,22.410166524222994,530.7499999999993
1982-12-20,19.533140703786398,529.0499999999994
1982-12-21,19.989340427696156,533.0499999999994
1982-12-22,21.782952535402554,532.1499999999994
1982-12-23,24.758367793347695,532.9499999999994
1982-12-24,24.758367793347695,
1982-12-27,32.96213501646488,536.8999999999994
1982-12-28,35.33972341175932,534.4499999999994
1982-12-29,40.836498153721415,535.1999999999994
1982-12-30,41.386993020105535,533.3499999999993
1982-12-31,44.375322960419034,533.9999999999993
1983-01-03,38.62144469165114,531.1999999999994
1983-01-04,36.91527837563193,534.6999999999994
1983-01-05,41.34296219028341,535.0999999999993
1983-01-06,44.28697927794019,539.1499999999994
1983-01-07,53.570315022791796,539.1999999999994
1983-01-10,63.878961094225765,540.8999999999994
1983-01-11,72.57397748478853,540.0999999999993
1983-01-12,81.9778417337425,540.1499999999994
1983-01-13,91.4443550808194,540.2999999999994
1983-01-14,100.60441648448352,540.2999999999994
1983-01-17,110.36023902291683,540.6499999999994
1983-01-18,119.48508535998207,540.5499999999994
1983-01-19,113.8540658700788,538.4499999999994
1983-01-20,117.82969863837035,539.8499999999993
1983-01-21,92.8995337015758,536.0999999999993
1983-01-24,81.4905793131806,533.8499999999993
1983-01-25,76.66327525028998,534.3999999999994
1983-01-26,72.61219604751993,534.3499999999993
1983-01-27,61.30831819103304,538.4999999999993
1983-01-28,63.018269249302016,537.5499999999994
1983-01-31,66.42098252723282,539.3999999999994
1983-02-01,52.588334186049266,535.4499999999994
1983-02-02,51.932396065778896,536.2499999999993
1983-02-03,52.90557537502152,537.0999999999993
1983-02-04,53.03923233073179,540.5999999999993
1983-02-07,60.27375276148083,540.7499999999993
1983-02-08,57.93746269112767,538.3499999999993
1983-02-09,60.25506570614965,538.3499999999993
1983-02-10,59.30790396970704,542.1999999999994
1983-02-11,63.74065712996404,540.9999999999993
1983-02-14,70.22136369766932,543.1499999999994
1983-02-15,73.09546978109924,541.5499999999994
1983-02-16,75.1686034783971,540.4499999999994
1983-02-17,79.77443582201958,541.2499999999993
1983-02-18,85.15223735378105,541.4499999999994
1983-02-21,85.15223735378102,
1983-02-22,78.60119505890269,538.4499999999994
1983-02-23,77.70142016049763,540.7999999999994
1983-02-24,80.04696551039204,543.8999999999994
1983-02-25,87.01494522665733,543.1999999999994
1983-02-28,84.87516808894691,541.3999999999994
1983-03-01,84.65772711204286,544.6999999999994
1983-03-02,94.25561118073307,544.7499999999993
1983-03-03,105.23608397776961,545.4499999999994
1983-03-04,115.54585484007514,545.8499999999995
1983-03-07,120.26186726811123,545.7999999999993
